,0,1,2,3,4,5,6,name,id
257,1 pm,8 pm,7 pm,7 pm,12 pm,1 pm,2 pm,Anna's Taqueria,ChIJ-x3_Q8d544kRkvCvAv2dNqY
258,8 pm,7 pm,7 pm,7 pm,7 pm,11 pm,12 am,Golden Temple,ChIJT_QwsLF544kRq4JUlWpXdOQ
259,1 pm,7 pm,8 pm,7 pm,12 pm,Closed,2 pm,Rami's,ChIJ7cQhmb9544kReJ7kddGVRus
260,Closed,7 pm,7 pm,7 pm,8 pm,7 pm,7 pm,Shiki,ChIJq9g6kr9544kR-GZ2-MnWig8
261,6 pm,7 pm,6 pm,6 pm,7 pm,2 pm,6 pm,Bottega Fiorentina,ChIJpRKPlr9544kRaEMSFVc7WJ4
262,11 am,12 pm,1 pm,7 pm,7 pm,11 am,12 pm,Zaftigs Delicatessen,ChIJRYWz34J544kRRS8VzHBP130
263,1 am,11 pm,12 am,2 am,1 am,1 am,2 am,Natalie's Pizza,ChIJxRaUYMh544kRMMgr9tFYDxI
264,7 pm,8 pm,8 pm,7 pm,7 pm,7 pm,7 pm,Dok Bua Thai Kitchen,ChIJ6en0rMB544kRt02SMgC-CBI
265,11 am,10 am,5 pm,10 am,8 pm,11 am,11 am,Brothers Restaurant,ChIJ-wyaqsB544kRINz9a9Qfbq0
266,12 pm,1 pm,1 pm,1 pm,10 am,Closed,1 pm,Pure Cold Press,ChIJa9ssn79544kRAwy450lhUXA
267,7 pm,7 pm,8 pm,8 pm,8 pm,8 pm,12 am,Citizen Public House & Oyster Bar,ChIJT1p8_PV544kR8zdM0MqPYDo
268,11 pm,12 am,11 pm,12 am,11 pm,11 pm,12 am,Tasty Burger,ChIJG_7Z4_V544kRalvwsGSoZaI
269,Closed,Closed,7 pm,7 pm,7 pm,7 pm,6 pm,Super Fusion Brookline,ChIJYe2gXbB544kR7TGExpF5l6I
270,9 pm,11 pm,8 pm,1 am,11 pm,1 am,1 am,Domino's Pizza,ChIJR5785x1644kR19vrd3ERKdQ
271,7 pm,7 pm,7 pm,7 pm,7 pm,8 pm,7 pm,Blaze Pizza,ChIJqzNGAR5644kR4sDg79Cowik
272,7 pm,6 pm,7 pm,5 pm,7 pm,7 pm,7 pm,Regina Pizzeria,ChIJ5Sk27_V544kRqLuOmhg2w_g
273,8 pm,9 pm,9 pm,9 pm,11 pm,11 pm,12 am,SOJUba,ChIJZfS34B1644kR-RVdJCImdvc
274,6 pm,7 pm,6 pm,7 pm,7 pm,1 pm,7 pm,Oath Pizza - Fenway,ChIJGwXlxvV544kR6qP6Pr2EENU
275,12 pm,12 pm,1 pm,12 pm,12 pm,12 pm,12 pm,Cafe Landwer,ChIJR_2acPF544kRpR9oUzDtxWo
276,12 pm,7 pm,7 pm,8 pm,7 pm,7 pm,6 pm,Basho Japanese Brasserie,ChIJGd-A_PV544kRrzXzAHiOHsA
277,12 pm,12 pm,12 pm,1 pm,12 pm,1 pm,2 pm,honeygrow,ChIJqzNGAR5644kRUviH1DHbjuQ
278,12 pm,1 pm,12 pm,1 pm,1 pm,2 pm,6 pm,CAVA,ChIJm0LFxvV544kR6CAUr4kduZU
279,7 pm,7 pm,7 pm,8 pm,10 pm,11 pm,12 am,Hojoko,ChIJzwTa-h1644kRlCoz94vNY1Y
280,8 pm,7 pm,8 pm,8 pm,9 pm,7 pm,6 pm,Grainne O'Malley's Tavern,ChIJ2SS5-ZV544kRM0aqIzDxkqY
